pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
mouse1_GF_cecum	0.075473531	0.148777975	-0.167088387	-0.043093312	0.062162247	-0.141989368	-0.036499848	-0.040698659	-0.051443815	-0.047242136	-0.005273437	-0.096313512	-0.036184516	-0.020999251	0.040896958	-0.180632345	0.021972622	0.094611559	0.075021848	0.060862564	0.04581106	-0.009897358	-0.123183532	0.075714472	0.103560046	-0.07256463	-0.189655611	-0.173880332	-0.151903694	-0.261900695	-0.091468453	0.202619829	-0.039791526	0.478290531	0.099185569	0.429273027	0.095786926	-0.204877997	0.104370082	-0.009711227	-0.071786191	0.132203369	-0.253689998	0.154028437	-0.051807314
mouse1_GF_ileum	0.190707315	-0.036271636	0.075309895	-0.007756575	-0.017934645	-0.11263656	-0.070078323	-0.175488299	0.06477155	-0.108783678	-0.126372244	-0.033865822	0.01658703	-0.024267617	0.140260584	-0.009438433	0.041239602	0.002134093	0.046000995	0.128011362	0.265527463	0.0920876	-0.193341518	0.074413115	-0.155282602	-0.095748696	-0.302729866	-0.054345509	0.15272183	0.103519962	-0.149034048	0.284594269	-0.0752664	-0.156439681	0.123819811	-0.004979737	0.116749542	0.032990221	0.146959986	-0.05340891	-0.295929229	-0.07310653	0.488767385	-0.122094259	-0.124405912
mouse1_GF_jejunum	0.221540948	-0.133661156	0.054033509	-0.034479171	-0.005953446	-0.103587091	0.066506681	-0.000603707	0.027382	-0.007579815	-0.084508215	-0.039179281	0.022710381	-0.159878683	0.08016834	-0.019550208	0.022171371	-0.080102391	-0.042876473	0.229946105	0.230228393	0.006797202	0.117987591	-0.116211875	-0.041072528	-0.03148261	-0.405428602	0.094035657	0.113482206	-0.171645385	-0.058621582	-0.1156192	-0.044951174	0.017483262	-0.118954287	-0.024344862	-0.09569107	0.302052895	0.052705867	0.186387665	0.316900637	-0.153139173	-0.370108485	-0.278938275	0.024599442
mouse1_GF_prox colon	0.089125554	0.106982466	-0.112854873	-0.037103745	0.054189664	-0.322880787	-0.048020681	-0.095861369	-0.053526903	-0.045825489	-0.07377959	-0.106163085	0.015785754	0.011661092	-0.018832291	-0.338593187	0.178663644	0.20082841	0.140226682	0.173855518	-0.13712317	-0.15367576	0.182955786	-0.06782566	-0.168049935	-0.115767618	0.273595613	-0.167474611	0.234220809	-0.235397629	0.185475571	-0.080898791	-0.160489777	-0.142753756	0.09821716	-0.019105679	0.036962122	0.229082365	-0.299816887	-0.027126658	-0.058277945	-0.001511097	0.065832289	0.030783074	0.055275374
mouse1_GF_Stomach	0.041668799	0.033243353	-0.120761442	0.449254216	-0.361474774	-0.110792762	0.47645288	-0.04535087	-0.356956933	-0.350107772	0.051181646	0.2869731	-0.065701765	0.091460161	0.180024516	-0.02713438	-0.032086194	-0.056091475	0.034797711	-0.0390925	-0.053661745	-0.07718906	0.042800725	0.049502256	-0.040680751	0.004330265	-0.033672087	0.012667942	0.03196282	0.025263739	-0.02272146	-0.007863352	0.031238611	0.024763869	0.026567488	0.006987482	-0.004990296	-0.001189067	0.001606806	-0.00473274	-0.005665885	-0.007269795	-0.001810544	-0.010098396	0.011091411
mouse1_BT_cecum	0.123509225	0.191711859	-0.198506042	-0.063489808	0.044905682	0.235060794	-0.029934504	0.030710381	0.104896029	-0.149247909	0.025791479	0.015355026	0.158710761	0.127044877	0.008732753	-0.044920577	0.001958758	-0.157715813	-0.076718128	-0.18671599	0.088092585	-0.306031623	0.043752089	-0.199874274	-0.136294108	-0.034395905	-0.058570177	-0.062704705	-0.19082003	0.132778745	0.094387092	0.237362545	0.037433234	-0.095085169	0.107705459	-0.100482996	0.090041558	-0.037532614	-0.288927857	0.195052188	-0.267702109	-0.016551933	-0.277787752	-0.274308756	-0.158094776
mouse1_BT_ileum	0.179230605	-0.034715348	0.026699775	-0.04293461	0.018283509	-0.001843155	0.080316964	0.068235588	0.133591583	-0.136696076	-0.048737733	0.044101996	-0.132831416	0.065921068	-0.065115209	0.15878523	-0.036331944	-0.144435481	0.049841031	-0.131692998	-0.037815226	0.001470204	-0.285501694	-0.061289635	0.118280109	0.006672963	0.124225279	-0.05276603	-0.242531456	-0.323474176	-0.240039343	-0.306580266	-0.216924033	-0.01958801	-0.020448044	-0.0093041	0.474952164	0.111505884	-0.108035135	0.017276682	-0.048111311	-0.22925549	0.083949609	-0.041606204	0.150894417
mouse1_BT_jejunum	0.231340399	-0.159826463	0.04973485	-0.052186838	0.055242059	0.00621213	0.321763698	0.383184344	0.201612957	0.075369523	0.052199744	-0.091379909	-0.189811671	0.037383623	0.037263388	-0.103854045	-0.080051179	0.024614197	0.132612115	-0.253601258	-0.177508189	0.138805894	0.104393817	0.030737691	-0.071914541	-0.231835323	0.135138858	-0.177351386	0.01671522	-0.045693304	0.068683894	0.226368537	-0.138449253	0.032008109	-0.184723028	0.074212559	-0.172573434	-0.059409728	0.132768446	-0.01713857	0.049345919	0.059457028	0.103152769	-0.318747437	-0.086734037
mouse1_BT_prox colon	0.112303078	0.158222922	-0.197824611	-0.058027402	0.047005336	0.194919629	-0.000605992	0.048552038	0.07452619	-0.09405531	0.035753959	-0.04202766	0.141378407	0.027935237	0.070325062	-0.037571008	0.236805277	-0.034408017	0.083058689	-0.219610135	0.027256127	-0.139747356	0.099105531	-0.042330134	-0.156435759	-0.212001567	-0.184117015	-0.127353072	-0.067210475	-0.201423244	-0.06239201	-0.082979595	0.375819378	-0.122063654	0.027370892	-0.074148297	-0.064770905	-0.07324957	0.179422384	-0.200718617	0.348766058	-0.165554847	0.20721879	0.252598443	0.113247089
mouse1_BT_Stomach	0.074211757	-0.050844088	-0.044641586	0.335513162	-0.209361995	-0.090172605	-0.223599452	0.017454383	0.420429331	-0.063438275	0.225280697	0.127462613	0.145749955	-0.354072247	-0.381379113	-0.2267748	-0.079611648	-0.255865814	0.231024172	0.020424268	-0.149058173	-0.029711557	-0.035170407	0.138336267	-0.007971133	0.023266172	-0.063462917	-0.013142616	0.031758039	0.060623536	-0.013033462	-0.023797222	0.048368566	0.019998979	0.027610074	0.015796032	-0.006757245	-0.009643321	-0.005184408	-0.004977065	-0.003115531	0.012259542	-0.003725412	-0.013650395	0.014617714
mouse1_RF_cecum	0.094470663	0.316213374	0.405702096	0.040953946	-0.001723735	-0.021967726	0.081724569	-0.007919035	0.060516596	-0.171589389	0.020864887	-0.283811308	0.250059925	0.222237743	-0.038436757	-0.106657931	0.032914901	-0.115576295	-0.201432254	-0.121259218	-0.23470432	-0.062267009	-0.188468536	0.144822128	0.022156162	0.183456009	-0.03741477	0.287770903	0.14823193	-0.166661754	0.02059744	0.13963094	-0.021263222	-0.076932788	-0.148625238	0.168945964	-0.092562128	0.075567892	-0.019458038	0.118615422	0.083079849	-0.003637883	0.042018493	0.090103188	-0.05466659
mouse1_RF_ileum	0.069254316	0.267489022	0.310838253	0.043203185	0.033526164	-0.115290534	0.082845831	0.032887113	0.014033555	-0.091670484	0.049770193	-0.112689219	0.122088201	-0.034019118	0.07662304	0.011353638	0.418996164	-0.123094857	0.1138141	0.229324083	-0.033771872	0.109344464	0.069036233	-0.151460529	0.332585736	-0.211645998	0.048882015	-0.104324143	-0.166651565	0.324839867	-0.018109231	-0.077932593	-0.034100913	0.207739016	-0.045006078	-0.233694274	-0.012630034	-0.122747683	-0.022222173	-0.131788489	-0.036328923	-0.062634934	-0.02011521	-0.095094842	0.052902217
mouse1_RF_jejunum	0.228899898	-0.127800234	-0.006033735	-0.043875542	-0.030217522	0.005784696	-0.105357893	-0.102434663	-0.117606772	0.060390437	0.093211427	0.072029356	-0.14914868	0.150450478	-0.093211681	-0.068991125	-0.002022536	-0.080118927	-0.04122525	0.022314128	-0.059101711	0.171559108	0.127330256	0.142186935	0.146576749	0.002930146	0.077251791	-0.028897041	0.190853828	0.025283053	0.040014085	0.327169438	0.036219013	0.048637399	-0.002224034	-0.230097841	0.286654169	-0.158190922	-0.120923049	0.055854163	0.258090729	-0.403776158	-0.105651562	0.211277933	-0.313206091
mouse1_RF_prox colon	0.134443001	0.16515713	0.05028681	0.160273397	-0.295416658	0.16521956	-0.032063322	-0.17399356	-0.037092893	0.381819902	-0.424600036	-0.166821925	-0.276363939	-0.355123607	0.161089113	-0.212370958	0.130297268	-0.090652507	-0.098990222	-0.262266162	0.019264903	-0.119942299	0.028104039	0.03909392	0.061103564	0.056202227	0.097579662	0.050754759	-0.068865103	0.014175699	-0.028623503	-0.02187672	-0.03189821	-0.014935598	-0.022653636	-0.00596039	0.008923159	-0.023823483	0.00989537	-0.016468582	-0.030588043	-0.033294918	-0.012492734	-0.007852756	-0.024316867
mouse1_RF_Stomach	0.233912062	-0.153111917	0.060460889	-0.038920958	-0.039946449	-0.002111373	-0.083325169	-0.122353141	-0.177603578	0.076165879	0.070462368	0.063264062	0.209906434	-0.037084706	-0.020770827	0.022295446	-0.007016732	0.090329047	-0.00597637	-0.045330055	-0.086795407	0.001261292	0.052992328	-0.025279863	-0.016995953	0.144839306	0.046859765	-0.119471848	-0.08425464	-0.167474557	0.038139734	0.017873914	-0.001957988	0.121050788	-0.055244579	-0.080928986	-0.343070374	-0.225163908	0.098427148	0.335874446	-0.317305062	-0.37383521	0.079317933	-0.003463274	0.377690863
mouse2_GF_cecum	0.076576953	0.156304298	-0.158533029	-0.049517165	0.077465185	-0.198889241	-0.010328924	0.033963785	-0.070391227	0.005827575	0.090750277	-0.067571052	-0.191485896	-0.093909117	-0.050536282	-0.062461462	-0.168298972	0.211308201	0.164767866	0.091508332	-0.039092247	-0.298787929	-0.297378367	-0.122698459	-0.150174183	-0.030879546	0.009277012	0.39164578	-0.077223	0.054616389	-0.073125423	0.110076273	-0.018772981	0.060631771	-0.347822318	-0.388126036	-0.010819759	-0.129535872	0.130184215	-0.08154253	0.006936884	-0.027911993	-0.031779157	0.034068337	0.015828868
mouse2_GF_ileum	0.166859102	0.027949269	-0.006156761	-0.036706407	0.009005068	0.054924517	0.001555762	-0.009477988	0.052812746	-0.128847751	-0.012584395	-0.016296238	-0.182978926	0.028523786	-0.003145482	-0.003664388	0.125416512	0.191282416	0.046295644	0.143978128	-0.092643047	0.000797668	-0.147598302	0.365046399	0.205747198	-0.037939693	0.105470227	-0.092875447	-0.121442578	-0.046069096	0.02934661	-0.0566894	0.240264726	-0.292219206	0.214944231	-0.225380199	-0.018936267	0.101864805	0.321485766	0.367650783	-0.049061702	0.24961597	-0.180455526	-0.017045065	-0.049410743
