pc_vector_number	eigenvector_matrix_labeled_ 1	eigenvector_matrix_labeled_ 2	eigenvector_matrix_labeled_ 3	eigenvector_matrix_labeled_ 4	eigenvector_matrix_labeled_ 5	eigenvector_matrix_labeled_ 6	eigenvector_matrix_labeled_ 7	eigenvector_matrix_labeled_ 8	eigenvector_matrix_labeled_ 9	eigenvector_matrix_labeled_10	eigenvector_matrix_labeled_11	eigenvector_matrix_labeled_12	eigenvector_matrix_labeled_13	eigenvector_matrix_labeled_14	eigenvector_matrix_labeled_15	eigenvector_matrix_labeled_16	eigenvector_matrix_labeled_17	eigenvector_matrix_labeled_18	eigenvector_matrix_labeled_19	eigenvector_matrix_labeled_20	eigenvector_matrix_labeled_21	eigenvector_matrix_labeled_22	eigenvector_matrix_labeled_23	eigenvector_matrix_labeled_24	eigenvector_matrix_labeled_25	eigenvector_matrix_labeled_26	eigenvector_matrix_labeled_27	eigenvector_matrix_labeled_28	eigenvector_matrix_labeled_29	eigenvector_matrix_labeled_30	eigenvector_matrix_labeled_31	eigenvector_matrix_labeled_32	eigenvector_matrix_labeled_33	eigenvector_matrix_labeled_34	eigenvector_matrix_labeled_35	eigenvector_matrix_labeled_36	eigenvector_matrix_labeled_37	eigenvector_matrix_labeled_38	eigenvector_matrix_labeled_39	eigenvector_matrix_labeled_40	eigenvector_matrix_labeled_41	eigenvector_matrix_labeled_42	eigenvector_matrix_labeled_43	eigenvector_matrix_labeled_44	eigenvector_matrix_labeled_45
pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
mouse1_GF_cecum	0.0754735312000278	0.148777975178969	-0.167088387381165	-0.043093312238996	0.0621622469439139	-0.141989367894824	-0.0364998477522978	-0.0406986586654664	-0.0514438148558576	-0.0472421362870121	-0.00527343653892721	-0.0963135119975288	-0.0361845158330219	-0.0209992507915154	0.0408969582598161	-0.180632345406693	0.0219726218014189	0.0946115592070927	0.0750218483183982	0.060862563503844	0.0458110596083369	-0.00989735819468143	-0.123183531708413	0.0757144722796081	0.103560045668839	-0.0725646295506348	-0.189655610525563	-0.173880331514107	-0.151903694160465	-0.261900694954576	-0.0914684531317753	0.202619828995469	-0.0397915260051772	0.478290530779906	0.0991855687031317	0.429273026714944	0.0957869260100103	-0.204877996506446	0.104370081608821	-0.00971122690770488	-0.0717861914119002	0.132203368686247	-0.253689997514188	0.15402843705651	-0.051807313762529
mouse1_GF_ileum	0.190707315178526	-0.0362716358324492	0.0753098949085265	-0.00775657506197598	-0.0179346448302477	-0.112636559994611	-0.0700783229889406	-0.175488299332796	0.0647715500038784	-0.108783677917344	-0.126372243825402	-0.0338658218833637	0.016587030316539	-0.0242676170148408	0.140260583775395	-0.00943843267890991	0.0412396019178997	0.0021340927056428	0.0460009953621063	0.128011361970479	0.26552746315815	0.092087599907646	-0.193341517525739	0.0744131146185964	-0.155282601589166	-0.0957486961873859	-0.302729865818639	-0.0543455086974011	0.15272182966144	0.103519961585224	-0.149034047503245	0.284594269469898	-0.0752664001076727	-0.156439680774437	0.12381981116266	-0.00497973745281206	0.116749542456982	0.032990221185099	0.14695998616205	-0.0534089098522354	-0.295929229113499	-0.0731065303055148	0.488767385072605	-0.122094259223692	-0.124405912332204
mouse1_GF_jejunum	0.221540947633195	-0.133661155970139	0.0540335089175089	-0.0344791710082749	-0.00595344610578056	-0.103587090867044	0.0665066810981859	-0.000603707362760698	0.0273820002794838	-0.00757981527893203	-0.0845082150815347	-0.0391792805573301	0.0227103814285019	-0.159878682805976	0.0801683397026998	-0.0195502079715397	0.0221713712100847	-0.0801023911958745	-0.0428764728183109	0.229946105174323	0.230228392820662	0.00679720248036657	0.117987590902614	-0.116211874965501	-0.0410725284819282	-0.0314826097292078	-0.405428601924287	0.0940356570291746	0.113482205683894	-0.171645385450762	-0.0586215817224241	-0.115619199523556	-0.0449511735016546	0.0174832621369391	-0.118954287090429	-0.0243448620635066	-0.0956910702186819	0.302052895387932	0.052705867230218	0.186387664854601	0.316900637390941	-0.153139173346382	-0.370108484692753	-0.278938275141552	0.0245994420237752
mouse1_GF_prox colon	0.0891255540192366	0.106982466368204	-0.112854873110094	-0.0371037450075893	0.0541896637785009	-0.322880787049525	-0.0480206806616742	-0.0958613690512823	-0.0535269032235321	-0.0458254894992619	-0.0737795895934616	-0.1061630854797	0.0157857543214361	0.011661091988445	-0.0188322909872257	-0.338593186622641	0.178663644392673	0.200828410022735	0.140226681576416	0.173855518479629	-0.137123170244482	-0.153675759926654	0.182955785690967	-0.0678256600414792	-0.168049935453779	-0.115767617806592	0.273595612557377	-0.167474610703966	0.234220809309923	-0.235397628503754	0.185475570987515	-0.0808987911135696	-0.160489777213746	-0.142753756198586	0.0982171599807011	-0.0191056790022832	0.0369621216602373	0.229082364765413	-0.299816886656331	-0.0271266580536698	-0.0582779454636071	-0.00151109743200911	0.0658322887921981	0.0307830737654747	0.0552753742960651
mouse1_GF_Stomach	0.0416687990257204	0.0332433528929709	-0.120761442264626	0.449254216386069	-0.361474774460324	-0.110792761535343	0.47645287992003	-0.0453508703644914	-0.356956933214231	-0.350107771571387	0.0511816456632385	0.286973099785018	-0.0657017649031366	0.0914601607496045	0.180024516021098	-0.0271343804528341	-0.0320861937129606	-0.0560914745527534	0.0347977111578162	-0.0390925001801994	-0.0536617445278127	-0.0771890602481565	0.0428007252834589	0.0495022559504167	-0.0406807508020855	0.00433026510734888	-0.0336720872072098	0.0126679419255363	0.0319628202816391	0.0252637388892969	-0.0227214601756429	-0.00786335222121548	0.0312386105087075	0.0247638691670871	0.026567487587303	0.00698748203967312	-0.00499029614387571	-0.00118906659457759	0.00160680608358136	-0.00473273965838578	-0.00566588494978973	-0.0072697947864128	-0.00181054372897346	-0.0100983961620983	0.0110914113710135
mouse1_BT_cecum	0.123509225114046	0.191711858890883	-0.198506042069675	-0.0634898078332662	0.0449056824553002	0.235060794177278	-0.0299345038092369	0.0307103805434315	0.104896029134539	-0.149247909409905	0.0257914789454315	0.0153550264054008	0.158710761051507	0.127044877292016	0.00873275252295258	-0.0449205774235291	0.00195875771675951	-0.157715813244791	-0.0767181281291601	-0.186715990258081	0.0880925845765273	-0.306031623016593	0.0437520890522057	-0.199874274483255	-0.136294107711325	-0.0343959048021689	-0.0585701769049037	-0.0627047050965009	-0.190820029658758	0.132778745367295	0.0943870915952854	0.237362544834569	0.0374332338357089	-0.0950851691058144	0.107705458852369	-0.100482995888764	0.090041558303822	-0.0375326139774348	-0.288927857051792	0.195052188405107	-0.267702109101122	-0.0165519333586943	-0.277787752086087	-0.274308756429128	-0.158094775530998
mouse1_BT_ileum	0.179230604514328	-0.0347153476364374	0.0266997747589582	-0.0429346103415759	0.0182835086738946	-0.00184315497914544	0.0803169642939811	0.0682355882209971	0.133591583292993	-0.136696076276815	-0.0487377329341184	0.044101996025833	-0.132831415720835	0.0659210676650966	-0.0651152091994439	0.158785230334135	-0.0363319443561155	-0.144435480695967	0.0498410310368614	-0.131692997946538	-0.0378152263371082	0.00147020422046362	-0.285501693706234	-0.0612896345916674	0.118280108724957	0.00667296302002001	0.124225279355844	-0.0527660303846469	-0.242531456223331	-0.323474176380336	-0.24003934264346	-0.306580266397577	-0.216924032514196	-0.0195880096085747	-0.0204480443660659	-0.00930410032788138	0.474952163628186	0.111505884497485	-0.108035135285389	0.0172766820512873	-0.0481113112698062	-0.229255489814843	0.0839496090126322	-0.0416062039967032	0.150894417235976
mouse1_BT_jejunum	0.231340399046699	-0.15982646295908	0.0497348495562383	-0.0521868381498016	0.0552420593028145	0.00621212989914358	0.321763697959485	0.383184343723708	0.201612956844107	0.0753695231151364	0.0521997436725274	-0.0913799092399166	-0.189811670522691	0.0373836229583319	0.0372633881868097	-0.103854044602779	-0.0800511786772263	0.0246141967811146	0.132612114937911	-0.253601258411601	-0.17750818890977	0.138805894096087	0.104393817465524	0.0307376910102348	-0.0719145409629794	-0.231835323061973	0.135138857717026	-0.177351385967861	0.0167152203200355	-0.0456933037248713	0.0686838935491509	0.226368537487683	-0.138449252761621	0.0320081093432461	-0.184723027925196	0.0742125588100075	-0.172573433840702	-0.0594097276423602	0.132768446375509	-0.017138569895248	0.0493459188593349	0.059457028385912	0.103152769439237	-0.318747437439126	-0.0867340369694994
mouse1_BT_prox colon	0.112303077876614	0.158222921718496	-0.197824610727007	-0.0580274018990211	0.0470053363043205	0.194919629294915	-0.000605992206688	0.048552038470488	0.074526189920625	-0.0940553104886985	0.0357539585322514	-0.0420276595028628	0.141378407162199	0.0279352365252538	0.0703250622031767	-0.0375710082945538	0.236805277377412	-0.0344080165137141	0.0830586890153247	-0.219610134679068	0.0272561271825322	-0.139747355748172	0.0991055310516317	-0.0423301338617454	-0.156435758909363	-0.212001567328892	-0.184117014795605	-0.127353071561172	-0.0672104750995855	-0.20142324398366	-0.06239201029765	-0.0829795946734094	0.375819377722396	-0.122063653790862	0.0273708916035736	-0.0741482965499949	-0.0647709046974451	-0.0732495701181558	0.179422384426391	-0.200718617217168	0.348766058305351	-0.165554846996772	0.207218790040462	0.252598442924087	0.113247088784234
