title 	 count


extracellularregion 	 19


extracellularspace 	 18


biological_process 	 17


cellular_component 	 15


molecular_function 	 14


serine-typeendopeptidaseactivity 	 10


proteinbinding 	 8


cytoplasm 	 7


calciumionbinding 	 6


zincionbinding 	 6


proteolysis 	 5


cytosol 	 4


digestion 	 4


secretorygranule 	 4


DNAbinding 	 3


extracellularvesicularexosome 	 3


integralcomponentofmembrane 	 3


lipidbinding 	 3


lipidcatabolicprocess 	 3


metalionbinding 	 3


odorantbinding 	 3


plasmamembrane 	 3


transporteractivity 	 3


Wntsignalingpathway 	 2


actinbinding 	 2


apicalpartofcell 	 2


apicalplasmamembrane 	 2


calcium-mediatedsignaling 	 2


carbonatedehydrataseactivity 	 2


celldifferentiation 	 2


cellsurface 	 2


centrosome 	 2


growthcone 	 2


metallocarboxypeptidaseactivity 	 2


metallopeptidaseactivity 	 2


microvillus 	 2


mitochondrion 	 2


nucleolus 	 2


nucleoplasm 	 2


nucleosome 	 2


nucleosomeassembly 	 2


one-carbonmetabolicprocess 	 2


oxygenbinding 	 2


peptidaseactivity 	 2


positiveregulationofcellproliferation 	 2


proteinaceousextracellularmatrix 	 2


proteincomplex 	 2


proteinheterodimerizationactivity 	 2


proteintransport 	 2


responsetonutrient 	 2


responsetopeptidehormone 	 2


responsetozincion 	 2


stressfiber 	 2


transport 	 2


triglyceridelipaseactivity 	 2


zymogengranulemembrane 	 2


ATPbinding 	 1


ATPcatabolicprocess 	 1


CXCR4chemokinereceptorbinding 	 1


Golgilumen 	 1


N-terminalmyristoylationdomainbinding 	 1


PDZdomainbinding 	 1


actin-dependentATPaseactivity 	 1


actincytoskeleton 	 1


actincytoskeletonorganization 	 1


actinfilament 	 1


activationofadenylatecyclaseactivity 	 1


adenylatecyclase-activatingdopaminereceptorsignalingpathway 	 1


adenylatecyclasebinding 	 1


aminopeptidaseactivity 	 1


angiogenesis 	 1


angiotensin-activatedsignalingpathway 	 1


angiotensin-mediateddrinkingbehavior 	 1


apicallaminaofhyalinelayer 	 1


apoptoticprocess 	 1


aspartic-typeendopeptidaseactivity 	 1


axon 	 1


basementmembrane 	 1


basolateralplasmamembrane 	 1


beta-2adrenergicreceptorbinding 	 1


beta-cateninbinding 	 1


bileacidsecretion 	 1


blastocystdevelopment 	 1


brushbordermembrane 	 1


cAMP-mediatedsignaling 	 1


calcium-dependentphospholipaseA2activity 	 1


calcium-dependentproteinbinding 	 1


calciumchannelcomplex 	 1


carbondioxidetransport 	 1


carboxypeptidaseactivity 	 1


cellgrowth 	 1


cellmaturation 	 1


cellularphosphateionhomeostasis 	 1


cellularproteinlocalization 	 1


cellularresponsetoretinoicacid 	 1


cellularresponsetostarvation 	 1


chaperonebinding 	 1


chemokine-mediatedsignalingpathway 	 1


chitinaseactivity 	 1


