case title1 	 title2 	 title3 	 title4 	 title5 	


1 secretorygranule 	 apicallaminaofhyalinelayer 	 responsetopeptidehormone 	  	  	


2 extracellularspace 	 positiveregulationofcellproliferation 	 calcium-mediatedsignaling 	 regulationofcellmigration 	 CXCR4chemokinereceptorbinding 	


3 serine-typeendopeptidaseactivity 	  	  	  	  	


4 molecular_function 	 proteinaceousextracellularmatrix 	 Golgilumen 	 biological_process 	 proteintransport 	


5 serine-typeendopeptidaseactivity 	 cellular_component 	  	  	  	


6 molecular_function 	 carbonatedehydrataseactivity 	 extracellularspace 	 cytoplasm 	 one-carbonmetabolicprocess 	


7 extracellularspace 	 serine-typeendopeptidaseactivity 	 polysaccharidecatabolicprocess 	 virusreceptoractivity 	 glycoproteinbinding 	


8 extracellularregion 	 biological_process 	 molecular_function 	 cellular_component 	 extracellularspace 	


9 regulationofimmunesystemprocess 	 proteinbinding 	 extracellularregion 	 apicalplasmamembrane 	  	


10 serine-typeendopeptidaseactivity 	 extracellularspace 	 spindlepole 	 responsetoamphetamine 	 regulationofheartrate 	


11 extracellularregion 	 serine-typeendopeptidaseactivity 	 proteolysis 	 lipidcatabolicprocess 	 metalionbinding 	


12 molecular_function 	 proteinaceousextracellularmatrix 	 Golgilumen 	 biological_process 	 proteintransport 	


13 secretorygranule 	 apicallaminaofhyalinelayer 	 responsetopeptidehormone 	  	  	


14 serine-typeendopeptidaseactivity 	  	  	  	  	


15 serine-typeendopeptidaseactivity 	 cellular_component 	  	  	  	


16 serine-typeendopeptidaseactivity 	 cellular_component 	  	  	  	


17 extracellularspace 	 serine-typeendopeptidaseactivity 	 polysaccharidecatabolicprocess 	 virusreceptoractivity 	 glycoproteinbinding 	


18 biological_process 	 chondrocytedifferentiation 	 molecular_function 	 cysteine-typeendopeptidaseinhibitoractivity 	 cellular_component 	


19 stressfiber 	 actinbinding 	 proteinbinding 	 extracellularregion 	 cytoplasm 	


20 extracellularspace 	 molecular_function 	 oxygentransporteractivity 	 ironionbinding 	 extracellularregion 	


21 serine-typeendopeptidaseactivity 	 extracellularregion 	 metallocarboxypeptidaseactivity 	 proteolysis 	 zincionbinding 	


22 serine-typeendopeptidaseactivity 	 extracellularspace 	 proteolysis 	 digestion 	 peptidaseactivity 	


23 extracellularregion 	 digestion 	 enzymeactivatoractivity 	 lipidcatabolicprocess 	  	


