case title1 	 title2 	 title3 	 title4 	 title5 	


1 serine-typeendopeptidaseactivity 	 extracellularspace 	 cellular_component 	 polysaccharidecatabolicprocess 	 virusreceptoractivity 	


2 serine-typeendopeptidaseactivity 	 extracellularspace 	 spindlepole 	 responsetoamphetamine 	 regulationofheartrate 	


3 extracellularregion 	 serine-typeendopeptidaseactivity 	 proteolysis 	 lipidcatabolicprocess 	 metalionbinding 	


4 biological_process 	 extracellularregion 	 molecular_function 	 cellular_component 	 extracellularspace 	


5 molecular_function 	 extracellularregion 	 extracellularspace 	 regulationofimmunesystemprocess 	 carbonatedehydrataseactivity 	


6 ruffle 	 renalsodiumiontransport 	 molecular_function 	 serine-typeendopeptidaseactivity 	 proteinbinding 	


7 serine-typeendopeptidaseactivity 	 cellular_component 	 zincionbinding 	 angiogenesis 	 molecular_function 	


8 extracellularspace 	 serine-typeendopeptidaseactivity 	 polysaccharidecatabolicprocess 	 virusreceptoractivity 	 glycoproteinbinding 	


9 extracellularregion 	 biological_process 	 molecular_function 	 cellular_component 	 extracellularspace 	


10 serine-typeendopeptidaseactivity 	 extracellularregion 	 proteolysis 	 metallocarboxypeptidaseactivity 	 extracellularspace 	


11 serine-typeendopeptidaseactivity 	 extracellularspace 	 biological_process 	 polysaccharidecatabolicprocess 	 virusreceptoractivity 	


12 biological_process 	 chondrocytedifferentiation 	 molecular_function 	 cysteine-typeendopeptidaseinhibitoractivity 	 cellular_component 	


13 serine-typeendopeptidaseactivity 	 extracellularregion 	 metallocarboxypeptidaseactivity 	 proteolysis 	 zincionbinding 	


14 serine-typeendopeptidaseactivity 	 regulationofimmunesystemprocess 	 proteinbinding 	 cellular_component 	 extracellularregion 	


15 extracellularregion 	 biological_process 	 stressfiber 	 molecular_function 	 actinbinding 	


16 extracellularregion 	 extracellularspace 	 blastocystdevelopment 	 innercellmasscellproliferation 	 molecular_function 	


