GO Title 	 GF-BT diff 	 BT-RF diff 	 GF-RF diff 	 GF count 	 BT count 	 RF count


tightjunctionassembly	0.4830	0.0000	0.0299	0.0015	0.0011	0.0000
ATDNAbinding	0.3533	0.1201	0.0000	0.0016	0.0033	0.0000
DNAbinding,bending	0.3533	0.1201	0.0000	0.0016	0.0033	0.0000
retinoidmetabolicprocess	0.9810	0.2074	0.0000	0.0047	0.0047	0.0000
alcoholdehydrogenase(NAD)activity	0.0574	0.1203	0.0000	0.0047	0.0020	0.0000
intermediatefilament	0.1670	0.0003	0.0000	0.0448	0.0492	0.0219
vesicle	0.0022	0.0000	0.0002	0.0109	0.0050	0.0003
celladhesion	0.0039	0.0013	0.0000	0.1072	0.0774	0.0430
externalsideofplasmamembrane	0.0353	0.0162	0.0000	0.2179	0.1583	0.0784
responsetoethanol	0.1312	0.2947	0.0000	0.1087	0.0707	0.0467
basalplasmamembrane	0.6958	0.1074	0.0001	0.0022	0.0018	0.0000
lipoproteintransport	0.1466	0.1411	0.0001	0.0059	0.0037	0.0015
