GO Title 	 GF-BT diff 	 BT-RF diff 	 GF-RF diff	
negativeregulationofmitochondrialoutermembranepermeabilizationinvolvedinapoptoticsignalingpathway	0.0013	0.5566	0.1047	x
positiveregulationofalpha-betaTcelldifferentiation	0.053	0.063	0.0019	x
malatemetabolicprocess	0.0595	0.0492	0.0049	x
positiveregulationofTcelldifferentiationinthymus	0.0639	0.102	0.004	x
germinalcenterBcelldifferentiation	0.0677	0.0747	0.0028	x
negativeregulationofleukocytemigration	0.0677	0.0747	0.0028	x
regulationofTcelldifferentiation	0.0677	0.0747	0.0028	x
positiveregulationofTcelldifferentiation	0.0677	0.0747	0.0028	x
Peyer'spatchdevelopment	0.0677	0.0747	0.0028	x
positiveregulationofTcellreceptorsignalingpathway	0.0677	0.0747	0.0028	x
negativeregulationofmucussecretion	0.0677	0.0747	0.0028	x
metalloaminopeptidaseactivity	0.0714	0.0505	0.0012	x
Tcellactivation	0.1029	0.0676	0.005	x
positiveregulationofTcellactivation	0.1095	0.0713	0.0044	x
responsetoethanol	0.1312	0.2947	0	x
regulationofwoundhealing	0.1388	0.0296	0.0019	x
responsetobacterium	0.1391	0.0296	0.002	x
positiveregulationofepithelialcellmigration	0.1392	0.0296	0.0021	x
Tcellmediatedcytotoxicity	0.1757	0.0194	0.0009	x
positiveregulationofapoptoticsignalingpathway	0.1757	0.0194	0.0009	x
virusreceptoractivity	0.1875	0.0016	0.0002	x
endopeptidaseactivity	0.2209	0.0018	0.0015	x
fructose6-phosphatemetabolicprocess	0.2485	0.0047	0.1178	x
regulationofcellshape	0.2685	0.0213	0.0029	x
carbohydratemetabolicprocess	0.2727	0.14	0.0039	x
adherensjunction	0.276	0.0001	0.089	x
immunologicalsynapse	0.3458	0.0017	0.002	x
leukocytecell-celladhesion	0.4088	0.0148	0.0071	x
negativeregulationofphagocytosis	0.4379	0.0026	0.1	x
cellularresponsetostress	0.4647	0.2403	0.0018	x
regulationofproteinsecretion	0.4647	0.2403	0.0018	x
tightjunctionassembly	0.483	0	0.0299	x
smallribosomalsubunit	0.5393	0.0025	0.0129	x
fattyacidmetabolicprocess	0.5696	0.3481	0.0023	x
negativeregulationofinflammatoryresponse	0.6396	0.0156	0.0054	x
responsetonematode	0.6439	0.0051	0.0096	x
hepatocyteapoptoticprocess	0.7616	0.0022	0.0134	x
responsetootherorganism	0.8283	0.0092	0.0284	x
viralprocess	0.8423	0.0042	0.0159	x
macropinosome	0.8598	0.0031	0.0088	x
intestinalepithelialcelldevelopment	0.9047	0.0001	0.1327	x
chromosomesegregation	0.0013	0.5566	0.1047	
MMXDcomplex	0.0013	0.5566	0.1047	
responsetozincion	0.0015	0.1057	0.0001	
vesicle	0.0022	0	0.0002	
transmembranetransport	0.003	0.7267	0.0839	
cellprojection	0.0038	0.7382	0.0556	
celladhesion	0.0039	0.0013	0	
negativeregulationofproteasomalubiquitin-dependentproteincatabolicprocess	0.0077	0.2294	0.1399	
lysosome	0.0078	0.0665	0.0001	
hemidesmosome	0.0078	0.2621	0.0028	
aging	0.0083	0.6892	0.0011	
AMPcatabolicprocess	0.0087	0.3739	0.0582	
5'-nucleotidaseactivity	0.0087	0.3739	0.0582	
adenosinebiosyntheticprocess	0.0087	0.3739	0.0582	
receptor-mediatedendocytosis	0.0096	0.0257	0.0023	
responsetohydrogenperoxide	0.011	0.0838	0.0031	
tightjunction	0.0123	0.0059	0.0008	
ubiquitin-dependentproteincatabolicprocess	0.0142	0.8516	0.0044	
neuronalcellbody	0.0147	0.0939	0.0028	
sulfateassimilation	0.0193	0.0205	0.0045	
negativeregulationofmatureBcellapoptoticprocess	0.0199	0.0747	0.0004	
positiveregulationofBcellproliferation	0.0199	0.0747	0.0004	
antioxidantactivity	0.0218	0.8198	0.0075	
liverdevelopment	0.0237	0.0067	0.0021	
ATPbiosyntheticprocess	0.0249	0.3314	0.0005	
dendritecytoplasm	0.0252	0.2862	0.0055	
spermfibroussheath	0.0268	0.0032	0.0135	
responsetoinsulin	0.0293	0.2424	0.0037	
glutaminemetabolicprocess	0.0312	0.2145	0.0046	
gamma-glutamyl-peptidaseactivity	0.0319	0.2006	0.0045	
externalsideofplasmamembrane	0.0353	0.0162	0	
L-lactatedehydrogenaseactivity	0.0359	0.0996	0.0023	
positiveregulationoffibroblastproliferation	0.0363	0.0103	0.0025	
positiveregulationofintrinsicapoptoticsignalingpathway	0.0364	0.1122	0.006	
responsetohypoxia	0.0389	0.0148	0.0005	
catalyticactivity	0.0398	0.3435	0.0092	
dystrophin-associatedglycoproteincomplex	0.0402	0.0009	0.0026	
costamere	0.0402	0.0009	0.0026	
celldifferentiationinvolvedinembryonicplacentadevelopment	0.0402	0.0009	0.0026	
celljunction	0.0412	0.0822	0.0016	
regulationofheartrate	0.0431	0.001	0.0085	
placentadevelopment	0.0441	0.0652	0.0015	
positiveregulationofcyclic-nucleotidephosphodiesteraseactivity	0.0445	0.0005	0.0052	
cysteine-typeendopeptidaseinhibitoractivityinvolvedinapoptoticprocess	0.045	0.0377	0.001	
hedgehogreceptoractivity	0.0457	0.1415	0.0011	
positiveregulationofsmoothmusclecontraction	0.0463	0.0601	0.0016	
responsetodrug	0.0473	0.5875	0.0037	
membrane	0.0507	0.138	0.0046	
cellularresponsetoantibiotic	0.051	0.0013	0.0157	
phosphataseactivity	0.0543	0.0174	0.0036	
endocyticrecycling	0.0573	0.0011	0.0354	
alcoholdehydrogenase(NAD)activity	0.0574	0.1203	0	
ionchannelbinding	0.0589	0.0009	0.0097	
proteinself-association	0.0609	0.1544	0.0057	
responsetovitaminE	0.0618	0.07	0.0024	
regulationofcell-celladhesionmediatedbyintegrin	0.0644	0.0636	0.0018	
calcium-dependentproteinbinding	0.0651	0.0009	0.0087	
phosphatidylinositol3-kinasebinding	0.0657	0.0007	0.0075	
detectionofcalciumion	0.0658	0.0006	0.0078	
spindlemicrotubule	0.0658	0.0006	0.0078	
activationofadenylatecyclaseactivity	0.0658	0.0006	0.0078	
adenylatecyclasebinding	0.0658	0.0006	0.0078	
titinbinding	0.0658	0.0006	0.0078	
type3metabotropicglutamatereceptorbinding	0.0658	0.0006	0.0078	
N-terminalmyristoylationdomainbinding	0.0658	0.0006	0.0078	
regulationofcytokinesis	0.0658	0.0006	0.0078	
positiveregulationofphosphoproteinphosphataseactivity	0.0658	0.0006	0.0078	
calciumchannelcomplex	0.0658	0.0006	0.0078	
positiveregulationofproteindephosphorylation	0.0658	0.0006	0.0078	
phospholipasebinding	0.0658	0.0006	0.0078	
nitric-oxidesynthasebinding	0.0658	0.0006	0.0078	
positiveregulationofnitric-oxidesynthaseactivity	0.0658	0.0006	0.0078	
regulationofcardiacmusclecontraction	0.0658	0.0006	0.0078	
proteinphosphataseactivatoractivity	0.0658	0.0006	0.0078	
sarcomere	0.0659	0.0008	0.0091	
histaminesecretion	0.0677	0.0747	0.0028	
purinenucleosidebinding	0.0677	0.0747	0.0028	
positiveregulationofgerminalcenterformation	0.0677	0.0747	0.0028	
adenosinedeaminaseactivity	0.0677	0.0747	0.0028	
adenosinecatabolicprocess	0.0677	0.0747	0.0028	
deoxyadenosinecatabolicprocess	0.0677	0.0747	0.0028	
purineribonucleosidemonophosphatebiosyntheticprocess	0.0677	0.0747	0.0028	
positiveregulationofheartrate	0.0677	0.0747	0.0028	
lungdevelopment	0.0677	0.0747	0.0028	
purinenucleotidesalvage	0.0677	0.0747	0.0028	
"negativeregulationofcircadiansleep/wakecycle,non-REMsleep"	0.0677	0.0747	0.0028	
responsetomorphine	0.0677	0.0747	0.0028	
dATPcatabolicprocess	0.0677	0.0747	0.0028	
hypoxanthinebiosyntheticprocess	0.0677	0.0747	0.0028	
inosinebiosyntheticprocess	0.0677	0.0747	0.0028	
xanthinebiosyntheticprocess	0.0677	0.0747	0.0028	
lungalveolusdevelopment	0.0677	0.0747	0.0028	
embryonicdigestivetractdevelopment	0.0677	0.0747	0.0028	
positiveregulationofcalcium-mediatedsignaling	0.0677	0.0747	0.0028	
negativeregulationofadenosinereceptorsignalingpathway	0.0677	0.0747	0.0028	
negativeregulationofpenileerection	0.0677	0.0747	0.0028	
negativeregulationofthymocyteapoptoticprocess	0.0677	0.0747	0.0028	
spindlepole	0.0696	0.0006	0.0082	
regulationofhighvoltage-gatedcalciumchannelactivity	0.0703	0.0006	0.0072	
regulationofsystemicarterialbloodpressurebyrenin-angiotensin	0.0709	0.0477	0.0011	
glomerulusdevelopment	0.0709	0.0477	0.0011	
trophectodermalcelldifferentiation	0.0714	0.061	0.0028	
