GO Title , GF-BT diff , BT-RF diff , GF-RF diff , GF count , BT count , RF count, GF std, BT std, RF std
,,,,,,,,,
,,,,,,,,,
tightjunctionassembly,0.205051,0.000737,0.092424,0.000491,0.000376,0,0.000257,0.00001,0
ATDNAbinding,0.177055,0.157019,0.003202,0.000517,0.001106,0,0.000025,0.000972,0
"DNAbinding,bending",0.177055,0.157019,0.003202,0.000517,0.001106,0,0.000025,0.000972,0
retinoidmetabolicprocess,0.307825,0.177055,0.009973,0.001556,0.001583,0,0.000117,0.001825,0
alcoholdehydrogenase(NAD)activity,0.128925,0.157019,0.009973,0.001556,0.000657,0,0.000117,0.000578,0
intermediatefilament,0.16811,0.019654,0.009973,0.01495,0.016388,0.007315,0.000559,0.001367,0.000163
celladhesion,0.030958,0.024033,0.010349,0.035717,0.025805,0.014329,0.001625,0.002368,0.000705
vesicle,0.025451,0.010349,0.014456,0.00364,0.001668,0.000085,0.000479,0.000106,0.000075
adherensjunction,0.177055,0.010414,0.143345,0.000818,0.000356,0,0.000634,0.000043,0
synapseassembly,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
externalsideofplasmamembrane,0.102589,0.069388,0.010414,0.072623,0.052771,0.026123,0.001408,0.010907,0.003834
cytoplasmicsideofplasmamembrane,0.279412,0.010414,0.162988,0.00041,0.000356,0,0.000399,0.000043,0
basalplasmamembrane,0.253498,0.155596,0.010414,0.000718,0.000596,0,0.000067,0.000499,0
responsetozincion,0.025376,0.154545,0.010414,0.026334,0.00956,0.004586,0.001216,0.00352,0.002174
aggresome,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
catenincomplex,0.279379,0.010414,0.162988,0.00041,0.000356,0,0.0004,0.000043,0
pituitaryglanddevelopment,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
negativeregulationofcell-celladhesion,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
nodeofRanvier,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
regulationofwaterlossviaskin,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
lipoproteintransport,0.161897,0.15893,0.010414,0.001958,0.001243,0.000515,0.000107,0.000681,0.000108
lateralloop,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
regulationofcysteine-typeendopeptidaseactivityinvolvedinapoptoticprocess,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
apicaljunctioncomplex,0.288611,0.010414,0.157328,0.000389,0.000356,0,0.000364,0.000043,0
gamma-cateninbinding,0.279379,0.010414,0.162988,0.00041,0.000356,0,0.0004,0.000043,0
responsetoethanol,0.157109,0.177055,0.010414,0.036238,0.023556,0.015567,0.001786,0.011464,0.00069
intestinalepithelialcelldevelopment,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
salivaryglandcavitation,0.220319,0.010414,0.128562,0.000475,0.000356,0,0.00031,0.000043,0
regulationofbranchinginvolvedinsalivaryglandmorphogenesis,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
cellularresponsetoaminoacidstimulus,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
cellularresponsetoindole-3-methanol,0.279379,0.010414,0.162988,0.00041,0.000356,0,0.0004,0.000043,0
establishmentofproteinlocalizationtoplasmamembrane,0.215388,0.010414,0.121394,0.000477,0.000356,0,0.000299,0.000043,0
negativeregulationofcanonicalWntsignalingpathway,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
cochleadevelopment,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
regulationofneuronmigration,0.292831,0.010414,0.157109,0.000382,0.000356,0,0.000351,0.000043,0
sarcolemma,0.179216,0.019864,0.010693,0.022516,0.021408,0.008418,0.00115,0.00159,0.001281
lysosome,0.046266,0.131085,0.010748,0.046975,0.028871,0.020718,0.00308,0.005554,0.000985
negativeregulationofproteinpolymerization,0.310304,0.011384,0.157019,0.000858,0.000862,0.000042,0.000719,0.000074,0.000073
negativeregulationofintrinsicapoptoticsignalingpathway,0.310304,0.011384,0.157019,0.000858,0.000862,0.000042,0.000719,0.000074,0.000073
virusreceptoractivity,0.172042,0.025376,0.01337,0.084208,0.097425,0.034893,0.005018,0.013513,0.004207
vesicle,0.025451,0.010349,0.014456,0.00364,0.001668,0.000085,0.000479,0.000106,0.000075
cytosol,0.153275,0.058342,0.015355,0.23035,0.186752,0.101762,0.015429,0.032494,0.009094
calcium-mediatedsignaling,0.143345,0.017909,0.046266,0.08156,0.102866,0.040818,0.014043,0.008644,0.002656
intermediatefilament,0.16811,0.019654,0.009973,0.01495,0.016388,0.007315,0.000559,0.001367,0.000163
proteinlocalization,0.292278,0.137946,0.019654,0.002995,0.003159,0.000343,0.000381,0.002097,0.000126
collagenfibrilorganization,0.177055,0.064224,0.019654,0.008734,0.007222,0.002476,0.000819,0.001931,0.000483
