GO Title 	 GF-BT diff 	 BT-RF diff 	 GF-RF diff 	 GF count 	 BT count 	 RF count


tightjunctionassembly	1.0000	0.0007	1.0000	0.0015	0.0011	0.0000
ATDNAbinding	1.0000	1.0000	0.0032	0.0016	0.0033	0.0000
DNAbinding,bending	1.0000	1.0000	0.0032	0.0016	0.0033	0.0000
retinoidmetabolicprocess	1.0000	1.0000	0.0100	0.0047	0.0047	0.0000
alcoholdehydrogenase(NAD)activity	1.0000	1.0000	0.0100	0.0047	0.0020	0.0000
intermediatefilament	1.0000	1.0000	0.0100	0.0448	0.0492	0.0219
celladhesion	1.0000	1.0000	0.0103	0.1072	0.0774	0.0430
vesicle	1.0000	0.0103	1.0000	0.0109	0.0050	0.0003
adherensjunction	1.0000	0.0104	1.0000	0.0025	0.0011	0.0000
synapseassembly	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
externalsideofplasmamembrane	1.0000	1.0000	0.0104	0.2179	0.1583	0.0784
cytoplasmicsideofplasmamembrane	1.0000	0.0104	1.0000	0.0012	0.0011	0.0000
basalplasmamembrane	1.0000	1.0000	0.0104	0.0022	0.0018	0.0000
responsetozincion	1.0000	1.0000	0.0104	0.0790	0.0287	0.0138
aggresome	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
catenincomplex	1.0000	0.0104	1.0000	0.0012	0.0011	0.0000
pituitaryglanddevelopment	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
negativeregulationofcell-celladhesion	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
nodeofRanvier	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
regulationofwaterlossviaskin	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
lipoproteintransport	1.0000	1.0000	0.0104	0.0059	0.0037	0.0015
lateralloop	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
regulationofcysteine-typeendopeptidaseactivityinvolvedinapoptoticprocess	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
apicaljunctioncomplex	1.0000	0.0104	1.0000	0.0012	0.0011	0.0000
gamma-cateninbinding	1.0000	0.0104	1.0000	0.0012	0.0011	0.0000
responsetoethanol	1.0000	1.0000	0.0104	0.1087	0.0707	0.0467
intestinalepithelialcelldevelopment	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
salivaryglandcavitation	1.0000	0.0104	1.0000	0.0014	0.0011	0.0000
regulationofbranchinginvolvedinsalivaryglandmorphogenesis	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
cellularresponsetoaminoacidstimulus	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
cellularresponsetoindole-3-methanol	1.0000	0.0104	1.0000	0.0012	0.0011	0.0000
establishmentofproteinlocalizationtoplasmamembrane	1.0000	0.0104	1.0000	0.0014	0.0011	0.0000
negativeregulationofcanonicalWntsignalingpathway	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
cochleadevelopment	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
regulationofneuronmigration	1.0000	0.0104	1.0000	0.0011	0.0011	0.0000
sarcolemma	1.0000	1.0000	0.0107	0.0675	0.0642	0.0253
lysosome	1.0000	1.0000	0.0107	0.1409	0.0866	0.0622
negativeregulationofproteinpolymerization	1.0000	0.0114	1.0000	0.0026	0.0026	0.0001
negativeregulationofintrinsicapoptoticsignalingpathway	1.0000	0.0114	1.0000	0.0026	0.0026	0.0001
virusreceptoractivity	1.0000	1.0000	0.0134	0.2526	0.2923	0.1047
vesicle	1.0000	1.0000	0.0145	0.0109	0.0050	0.0003
cytosol	1.0000	1.0000	0.0154	0.6911	0.5603	0.3053
calcium-mediatedsignaling	1.0000	0.0179	1.0000	0.2447	0.3086	0.1225
intermediatefilament	1.0000	0.0197	1.0000	0.0448	0.0492	0.0219
proteinlocalization	1.0000	1.0000	0.0197	0.0090	0.0095	0.0010
collagenfibrilorganization	1.0000	1.0000	0.0197	0.0262	0.0217	0.0074
