GO Title , GF count , BT count , RF count, GF std, BT std, RF std, p-val, q-val
intermediatefilament,0.014950,0.016388,0.007315,0.000559,0.001367,0.000163,0.000015,0.003038
celladhesion,0.035717,0.025805,0.014329,0.001625,0.002368,0.000705,0.000016,0.003038
vesicle,0.003640,0.001668,0.000085,0.000479,0.000106,0.000075,0.000024,0.003038
sarcolemma,0.022516,0.021408,0.008418,0.001150,0.001590,0.001281,0.000027,0.003038
spindlepole,0.049726,0.060941,0.022272,0.007449,0.002611,0.006305,0.000095,0.005078
virusreceptoractivity,0.084208,0.097425,0.034893,0.005018,0.013513,0.004207,0.000105,0.005078
regulationofcytokineproduction,0.000126,0.000110,0.000017,0.000011,0.000022,0.000016,0.000158,0.005078
positiveregulationofproteinphosphorylation,0.015218,0.011295,0.003379,0.002412,0.001429,0.000496,0.000158,0.005078
metallocarboxypeptidaseactivity,0.139605,0.121191,0.235267,0.022742,0.001836,0.020512,0.000158,0.005078
detectionofcalciumion,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000252,0.005078
lysosome,0.046975,0.028871,0.020718,0.003080,0.005554,0.000985,0.000271,0.005078
spindlemicrotubule,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000301,0.005078
tightjunction,0.005504,0.002574,0.000419,0.000956,0.000675,0.000182,0.000331,0.005078
activationofadenylatecyclaseactivity,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000355,0.005078
adenylatecyclasebinding,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000394,0.005078
externalsideofplasmamembrane,0.072623,0.052771,0.026123,0.001408,0.010907,0.003834,0.000406,0.005078
responsetozincion,0.026334,0.009560,0.004586,0.001216,0.003520,0.002174,0.000406,0.005078
dystrophin-associatedglycoproteincomplex,0.013003,0.014887,0.006020,0.000856,0.000675,0.001598,0.000406,0.005078
extrinsiccomponentofplasmamembrane,0.008427,0.006846,0.002112,0.001173,0.000894,0.000623,0.000406,0.005078
nitric-oxidesynthaseregulatoractivity,0.050247,0.060987,0.022522,0.007320,0.002833,0.006036,0.000450,0.005078
titinbinding,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000451,0.005078
type3metabotropicglutamatereceptorbinding,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000459,0.005078
thioesterasebinding,0.051451,0.061240,0.022259,0.007752,0.002400,0.006348,0.000460,0.005078
N-terminalmyristoylationdomainbinding,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000460,0.005078
regulationofcytokinesis,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
positiveregulationofphosphoproteinphosphataseactivity,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
calciumchannelcomplex,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
negativeregulationofdephosphorylation,0.000126,0.000110,0.000017,0.000011,0.000022,0.000016,0.000467,0.005078
positiveregulationofproteindephosphorylation,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
slitdiaphragm,0.000126,0.000110,0.000017,0.000011,0.000022,0.000016,0.000467,0.005078
costamere,0.013003,0.014887,0.006020,0.000856,0.000675,0.001598,0.000467,0.005078
phospholipasebinding,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
phosphatidylinositol3-kinasebinding,0.050043,0.060986,0.022608,0.007027,0.002718,0.006430,0.000467,0.005078
nitric-oxidesynthasebinding,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
positiveregulationofnitric-oxidesynthaseactivity,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
positiveregulationofbinding,0.007858,0.006662,0.002047,0.000929,0.001121,0.000546,0.000467,0.005078
positiveregulationofcyclic-nucleotidephosphodiesteraseactivity,0.050635,0.062277,0.022300,0.006463,0.002619,0.006078,0.000467,0.005078
regulationofcardiacmusclecontraction,0.049443,0.060672,0.022096,0.007234,0.002749,0.006284,0.000467,0.005078
